month,year,month_number,start_date,end_date,bank_name,no_atms_on_site,no_atms_off_site,no_pos_on_line,no_pos_off_line,no_credit_cards,no_credit_card_atm_txn,no_credit_card_pos_txn,no_credit_card_atm_txn_value_in_mn,no_credit_card_pos_txn_value_in_mn,no_debit_cards,no_debit_card_atm_txn,no_debit_card_pos_txn,no_debit_card_atm_txn_value_in_mn,no_debit_card_pos_txn_value_in_mn
January,2017,1,1/1/2017,1/31/2017,SOUTH INDIAN BANK,758,552,4932,0,0,0,0,0,0,3473798,2138797,1472873,6057.8,2379.6
January,2017,1,1/1/2017,1/31/2017,TAMILNAD MERCANTILE BANK LTD,439,620,3070,0,8009,0,14725,0,35.0163,1039956,3867378,452511,12537.9,840.213
January,2017,1,1/1/2017,1/31/2017,THE LAXMI VILAS BANK LTD,342,593,3714,0,0,0,0,0,0,1189269,519109,406757,1618.9,656.617
January,2017,1,1/1/2017,1/31/2017,YES BANK LTD,655,1123,36929,0,66839,1686,218334,6.19921,640.624,1524560,2181754,2110558,5439.64,3023.76
January,2017,1,1/1/2017,1/31/2017,AMERICAN EXPRESS,0,0,20029,0,969777,2621,5583518,9.502,36811.8,0,0,0,0,0
January,2017,1,1/1/2017,1/31/2017,BANK OF AMERICA,0,0,0,0,11043,85,25123,0.621737,130.649,0,0,0,0,0
January,2017,1,1/1/2017,1/31/2017,BARCLAYS BANK PLC,0,0,0,0,0,0,0,0,0,3390,121,271,0.4,1.6
January,2017,1,1/1/2017,1/31/2017,CITI BANK,54,504,26139,0,2481627,41747,19020046,188.311,40760.8,1564211,1608912,5275091,5209.8,8933.29
January,2017,1,1/1/2017,1/31/2017,DBS BANK,5,25,0,0,0,0,0,0,0,823391,81489,317193,218.484,362.618
January,2017,1,1/1/2017,1/31/2017,DEUTSCHE BANK LTD,13,19,0,0,0,0,0,0,0,105604,98263,231083,364.52,380.384
January,2017,1,1/1/2017,1/31/2017,FIRSTRAND BANK,0,0,0,0,0,0,0,0,0,49195,1479,2658,2.2,7.5
January,2017,1,1/1/2017,1/31/2017,HONGKONG AND SHANGHAI BKG CORPN,44,54,0,0,439820,3390,1371990,17.447,4018.93,438572,280619,684025,982.466,1293.13
January,2017,1,1/1/2017,1/31/2017,ROYAL BANK OF SCOTLAND N V,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,2017,1,1/1/2017,1/31/2017,STANDARD CHARTERED BANK LTD,103,147,0,0,1070421,4578,4584212,18.6,9981.8,862136,1034458,2409389,3151.8,2962
February,2017,2,2/1/2017,2/28/2017,ALLAHABAD BANK,820,394,14,0,0,0,0,0,0,10989291,6284001,1507677,16384.84702,2080.057564
February,2017,2,2/1/2017,2/28/2017,ANDHRA BANK,3042,800,2825,0,165637,9555,285317,44.4,663.9,21464036,12192642,2301510,34474.1,2786.9
February,2017,2,2/1/2017,2/28/2017,BANK OF BARODA,6276,4203,69965,0,130351,6458,321062,22.72578992,1033.750193,41389177,14227703,8150988,61315.4885,9973.026893
February,2017,2,2/1/2017,2/28/2017,BANK OF INDIA,3483,4234,16172,1873,145194,11530,184785,61.136911,448.688329,45729628,26223949,7063449,57309.13869,7865.457491
February,2017,2,2/1/2017,2/28/2017,BANK OF MAHARASHTRA,1291,586,803,0,0,0,0,0,0,6341308,5265993,2124077,19729.88789,2800.753595
February,2017,2,2/1/2017,2/28/2017,CANARA BANK,5406,5091,7113,0,209614,26225,412680,116.5662985,826.9379562,32367588,16346694,7853984,67937.5466,11266.4676
February,2017,2,2/1/2017,2/28/2017,CENTRAL BANK OF INDIA,3493,1813,1614,0,106562,2843,148839,13.94213422,318.5549565,23836454,9312177,3333247,39463.07384,4710.106906
February,2017,2,2/1/2017,2/28/2017,CORPORATION BANK,2304,858,198264,0,93966,1790,131194,8.28062066,305.6925256,11298543,5188759,3781808,21672.3758,4641.769362
February,2017,2,2/1/2017,2/28/2017,DENA BANK,1282,248,3625,0,0,0,0,0,0,6922026,2127205,772079,8937.546262,930.1851666
February,2017,2,2/1/2017,2/28/2017,INDIAN BANK,2618,739,4800,0,80797,2938,132784,15.7,271.2,17338969,23482781,5177431,37761.9,5700.6
February,2017,2,2/1/2017,2/28/2017,INDIAN OVERSEAS BANK,2711,974,11638,0,43142,340,60397,1.486533,156.683226,15803385,10761336,2576965,30686.30785,9256.312218
February,2017,2,2/1/2017,2/28/2017,ORIENTAL BANK OF COMMERCE,2290,317,5144,0,0,0,0,0,0,10354993,4106957,1915645,18542.333,2737.279
February,2017,2,2/1/2017,2/28/2017,PUNJAB AND SIND BANK,1046,207,0,0,0,0,0,0,0,2590321,680658,336663,3047.295627,589.4734985
February,2017,2,2/1/2017,2/28/2017,PUNJAB NATIONAL BANK,5560,4707,34247,0,230718,3422,286397,8.10080752,581.2357018,54616323,19400356,11146376,89168.55238,15252.59431
February,2017,2,2/1/2017,2/28/2017,SYNDICATE BANK,3508,400,3614,0,72778,2266,106292,8.9381,203.289013,13493824,10813020,1250503,28693.07504,1696.005383
February,2017,2,2/1/2017,2/28/2017,UCO BANK,2167,575,2795,0,0,0,0,0,0,10163923,4421655,1992880,17605,2757.2
February,2017,2,2/1/2017,2/28/2017,UNION BANK OF INDIA,4490,3043,34156,0,178907,2232,137088,10.05744759,626.4790885,19143764,17154450,3173008,51147.0969,3487.883171
February,2017,2,2/1/2017,2/28/2017,UNITED BANK OF INDIA,1033,1172,106,0,0,0,0,0,0,9499277,4986156,1119170,17706.36823,1548.781281
February,2017,2,2/1/2017,2/28/2017,VIJAYA BANK,1631,306,3821,0,49159,7589,94975,36.14902114,286.9832794,5655008,5046148,1526816,14654.72665,2356.214811
February,2017,2,2/1/2017,2/28/2017,IDBI LTD,1786,1706,31424,0,19552,489,67031,2.2,148.3,10401877,7579163,3946920,27816.4,6353.6
February,2017,2,2/1/2017,2/28/2017,STATE BANK OF BIKANER AND JAIPUR,1216,802,9651,0,0,0,0,0,0,10120964,11527708,2306136,24941.05304,3030.566322
February,2017,2,2/1/2017,2/28/2017,STATE BANK OF HYDERABAD,1814,566,8802,0,0,0,0,0,0,12825113,19539762,4493148,41527.17797,6624.788113
February,2017,2,2/1/2017,2/28/2017,STATE BANK OF INDIA,23271,26917,466806,0,4461656,81145,12644258,348.939735,41168.91199,217407059,314787987,63025579,646648.0336,91189.85963
February,2017,2,2/1/2017,2/28/2017,STATE BANK OF MYSORE,1096,330,6413,0,0,0,0,0,0,5590455,7897864,1599426,16120.49761,2509.668315
February,2017,2,2/1/2017,2/28/2017,STATE BANK OF PATIALA,1183,344,8662,0,0,0,0,0,0,5313521,4795749,1701508,9257.658717,2592.81365
February,2017,2,2/1/2017,2/28/2017,STATE BANK OF TRAVANCORE,1128,610,5798,0,0,0,0,0,0,8400374,15829408,2380962,36144.15575,4062.821106
February,2017,2,2/1/2017,2/28/2017,AXIS BANK LTD,3237,10770,394279,0,3172283,38515,8396836,62.579999,25803.75108,19729578,19614218,17567414,87189.05372,25450.08854
February,2017,2,2/1/2017,2/28/2017,BANDHAN BANK,281,0,2895,0,0,0,0,0,0,9123128,4342102,304268,13516.5,501.6
February,2017,2,2/1/2017,2/28/2017,CATHOLIC SYRIAN BANK LTD,201,57,0,0,0,0,0,0,0,930697,429256,104408,1278.323206,220.8893741
February,2017,2,2/1/2017,2/28/2017,CITY UNION BANK,756,675,8706,0,594,72,1984,0.1671,2.482199,1618593,1383868,727776,5653.410372,956.0146023
February,2017,2,2/1/2017,2/28/2017,DEVELOPMENT CREDIT BANK,216,298,1283,0,5875,648,13282,3.205412,22.413864,445702,719533,251906,1335.520273,459.772521
February,2017,2,2/1/2017,2/28/2017,DHANALAKSHMI BANK LTD,199,174,1155,0,7436,69,15704,0.287427,31.678337,631096,490621,144491,1480.948,252.8005131
February,2017,2,2/1/2017,2/28/2017,FEDERAL BANK LTD,1143,519,10038,0,0,0,0,0,0,5491552,4096200,2170146,17774.26268,3482.359804
February,2017,2,2/1/2017,2/28/2017,HDFC BANK LTD,5711,6497,413848,0,8718950,121858,27504911,634.6987413,83880.19594,23420261,25283318,32319787,111436.2998,44459.2368
February,2017,2,2/1/2017,2/28/2017,ICICI BANK LTD,4973,9079,271985,0,4186833,20025,13421872,74.430449,31741.32389,36453386,25192535,30450233,132536.6519,42779.35048
February,2017,2,2/1/2017,2/28/2017,IDFC BANK LTD,20,1,9,925,0,0,0,0,0,237362,326328,182746,680.6,152.4
February,2017,2,2/1/2017,2/28/2017,INDUSIND BANK LTD,840,1148,22005,0,563182,7881,1594739,41.47961836,9531.475082,3279655,1820641,1773075,7684.20219,2607.408747
February,2017,2,2/1/2017,2/28/2017,JAMMU AND KASHMIR BANK,643,449,8834,0,60441,5180,126973,16.77111208,360.9379262,4455903,4228669,198504,16216.41389,603.7581676
February,2017,2,2/1/2017,2/28/2017,KARNATAKA BANK LTD,533,819,8712,0,0,0,0,0,0,3583537,3157351,1667497,12153.3,2152.5
February,2017,2,2/1/2017,2/28/2017,KARUR VYSYA BANK LTD,766,979,20768,0,0,0,0,0,0,4374821,3848202,1951489,16838.4,2761.4
February,2017,2,2/1/2017,2/28/2017,KOTAK MAHINDRA BANK LTD,958,1139,0,0,1010435,14481,2110477,62.43651782,6273.689029,4773336,5168167,4500170,17429.8762,6029.97104
February,2017,2,2/1/2017,2/28/2017,RATNAKAR BANK LIMITED,149,225,12331,0,252455,4958,742910,29.2273456,2812.758209,574395,292520,252229,1142.507457,346.2372482
February,2017,2,2/1/2017,2/28/2017,SOUTH INDIAN BANK,762,554,5538,0,0,0,0,0,0,3510690,2233255,1105025,8316.4,1660.1
February,2017,2,2/1/2017,2/28/2017,TAMILNAD MERCANTILE BANK LTD,440,620,4773,0,7995,0,12411,0,30.69612476,1046954,3453940,276338,13391.2608,523.1496229
February,2017,2,2/1/2017,2/28/2017,THE LAXMI VILAS BANK LTD,349,594,4886,0,0,0,0,0,0,1204223,647748,257597,2507,420.3986
February,2017,2,2/1/2017,2/28/2017,YES BANK LTD,660,1113,42231,0,79487,1920,211085,8.38472639,604.903771,1574469,2346879,1620858,7810.48673,2262.350457
February,2017,2,2/1/2017,2/28/2017,AMERICAN EXPRESS,0,0,22184,0,987612,2729,5072302,15.9485,33464.37242,0,0,0,0,0
February,2017,2,2/1/2017,2/28/2017,BANK OF AMERICA,0,0,0,0,11493,144,28810,1.18622252,159.1993634,0,0,0,0,0
February,2017,2,2/1/2017,2/28/2017,BARCLAYS BANK PLC,0,0,0,0,0,0,0,0,0,3398,159,225,1.1,1
February,2017,2,2/1/2017,2/28/2017,CITI BANK,54,504,27447,0,2503725,39331,15682811,218.631932,33455.58793,1570087,1786889,4378588,6942.382943,7566.480656
February,2017,2,2/1/2017,2/28/2017,DBS BANK,5,25,0,0,0,0,0,0,0,905695,107435,263176,287.546681,229.0422062
February,2017,2,2/1/2017,2/28/2017,DEUTSCHE BANK LTD,13,19,0,0,0,0,0,0,0,106810,107138,187568,492.029369,306.996719
February,2017,2,2/1/2017,2/28/2017,FIRSTRAND BANK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,2017,2,2/1/2017,2/28/2017,HONGKONG AND SHANGHAI BKG CORPN,44,54,0,0,440566,3060,1131150,21.287646,3375.365028,436802,287779,525979,1272.942241,1027.631601
February,2017,2,2/1/2017,2/28/2017,ROYAL BANK OF SCOTLAND N V,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,2017,2,2/1/2017,2/28/2017,STANDARD CHARTERED BANK LTD,103,147,0,0,1081260,4023,3845275,20.463968,8450.855028,881897,1222130,2010058,4322.249985,2419.534835
March,2017,3,3/1/2017,3/31/2017,ALLAHABAD BANK,821,393,403,0,0,0,0,0,0,11200623,6726813,1544785,18147.15376,1917.523649
March,2017,3,3/1/2017,3/31/2017,ANDHRA BANK,3113,816,3182,0,168394,9354,337750,44.5,762.9,21617294,11955223,3239791,34450,3692.1
March,2017,3,3/1/2017,3/31/2017,BANK OF BARODA,6296,4224,85728,0,131571,6968,353111,25.54588139,1161.286395,43228705,15974728,8352913,69927.13474,9056.232162
March,2017,3,3/1/2017,3/31/2017,BANK OF INDIA,3483,4234,17328,1777,145860,13543,206140,73.951908,503.8749565,47149101,28534271,7811235,62333.40739,7938.388928
March,2017,3,3/1/2017,3/31/2017,BANK OF MAHARASHTRA,1292,586,930,0,0,0,0,0,0,6453998,5702200,2159703,21934.147,2779.914901
March,2017,3,3/1/2017,3/31/2017,CANARA BANK,5391,5128,9680,0,215250,34490,500973,148.0870237,977.7617267,33136916,18209171,8183650,77331.83294,10920.1669
March,2017,3,3/1/2017,3/31/2017,CENTRAL BANK OF INDIA,3481,1804,1851,0,106515,3157,164267,15.81527092,346.5353528,24334411,10239025,3606883,44602.27355,4544.138949
March,2017,3,3/1/2017,3/31/2017,CORPORATION BANK,2306,863,213454,0,96332,2124,148338,10.2899739,359.8341489,11541418,5458928,3886380,23135.2176,4459.163857
March,2017,3,3/1/2017,3/31/2017,DENA BANK,1290,248,4525,0,0,0,0,0,0,7024177,2277553,582625,9425.201791,640.9971879
March,2017,3,3/1/2017,3/31/2017,INDIAN BANK,2617,741,8428,0,80229,2906,143283,16.573974,301.206793,17585918,26433889,5227428,44109.9,5110.2
March,2017,3,3/1/2017,3/31/2017,INDIAN OVERSEAS BANK,2705,974,12598,0,43322,447,60610,1.721739,161.180127,16001318,9311604,2833906,36022.4389,9020.079636
March,2017,3,3/1/2017,3/31/2017,ORIENTAL BANK OF COMMERCE,2296,325,6318,0,0,0,0,0,0,10419799,4606798,1815430,20489.315,2397.821
March,2017,3,3/1/2017,3/31/2017,PUNJAB AND SIND BANK,1049,204,0,0,0,0,0,0,0,2612194,850029,315551,3614.505609,498.9158493
March,2017,3,3/1/2017,3/31/2017,PUNJAB NATIONAL BANK,5947,4734,38841,0,253951,6907,335064,29.38292398,675.7389945,55258924,22323433,11862484,102525.404,14281.11501
March,2017,3,3/1/2017,3/31/2017,SYNDICATE BANK,3571,402,4496,0,73858,2525,125703,10.669639,248.529851,13647138,11471784,1335794,30858.70307,1654.108673
March,2017,3,3/1/2017,3/31/2017,UCO BANK,2201,578,5145,0,0,0,0,0,0,10326760,4932776,2151536,19657.3,2669.8
March,2017,3,3/1/2017,3/31/2017,UNION BANK OF INDIA,4484,3034,51891,0,182914,2552,151814,12.06472119,623.0434918,19546123,18645663,3160194,58601.92994,3367.567673
March,2017,3,3/1/2017,3/31/2017,UNITED BANK OF INDIA,1132,991,1000,0,0,0,0,0,0,10188328,5765309,1254181,21433.03462,1534.459824
March,2017,3,3/1/2017,3/31/2017,VIJAYA BANK,1663,338,5846,0,49098,4183,58874,20.48456174,168.510572,5827372,5448340,1608618,16320.52686,2371.618873
March,2017,3,3/1/2017,3/31/2017,IDBI LTD,1822,1715,34469,0,21510,662,80212,3.2,177.8,10604581,8315191,4455175,41492.4,6374.1
March,2017,3,3/1/2017,3/31/2017,STATE BANK OF BIKANER AND JAIPUR,1220,798,12268,0,0,0,0,0,0,10391472,11724129,2310742,32044.97869,2552.821054
March,2017,3,3/1/2017,3/31/2017,STATE BANK OF HYDERABAD,1793,572,9942,0,0,0,0,0,0,12954854,17071964,5326601,41940.05876,7000.980744
March,2017,3,3/1/2017,3/31/2017,STATE BANK OF INDIA,23161,27027,509113,0,4569048,92846,14605626,397.4097708,49042.26206,218879742,307490694,69407825,793090.1731,89397.51987
March,2017,3,3/1/2017,3/31/2017,STATE BANK OF MYSORE,1096,330,6801,0,0,0,0,0,0,5670374,7954377,1670177,19644.34578,2491.788687
March,2017,3,3/1/2017,3/31/2017,STATE BANK OF PATIALA,1183,344,11074,0,0,0,0,0,0,5353167,4987520,1672143,14492.52677,2261.609219
March,2017,3,3/1/2017,3/31/2017,STATE BANK OF TRAVANCORE,1132,607,6696,0,0,0,0,0,0,8498116,15324526,2472001,42379.42491,3907.900721
March,2017,3,3/1/2017,3/31/2017,AXIS BANK LTD,3209,10954,433034,0,3346735,46903,9549223,107.1,30697.42777,20175013,21176738,18501956,103762.5836,25478.82341
March,2017,3,3/1/2017,3/31/2017,BANDHAN BANK,282,0,5460,0,0,0,0,0,0,9434051,5026924,331307,16819.4,478
March,2017,3,3/1/2017,3/31/2017,CATHOLIC SYRIAN BANK LTD,205,58,0,0,0,0,0,0,0,943066,474672,101934,1384.881982,216.0819878
March,2017,3,3/1/2017,3/31/2017,CITY UNION BANK,805,681,9798,0,626,96,2385,0.2456,2.907998,1633790,1716245,749456,7478.412147,927.4867907
March,2017,3,3/1/2017,3/31/2017,DEVELOPMENT CREDIT BANK,217,298,1421,0,6464,854,15430,4.132523,24.368083,453105,659408,272823,1653.933543,490.958019
March,2017,3,3/1/2017,3/31/2017,DHANALAKSHMI BANK LTD,199,172,1203,0,7487,75,15736,0.277,31.368504,603183,534982,144164,1705.764396,242.239602
March,2017,3,3/1/2017,3/31/2017,FEDERAL BANK LTD,1151,516,10437,0,0,0,0,0,0,5569590,4664178,2288026,21797.24622,3377.227336
March,2017,3,3/1/2017,3/31/2017,HDFC BANK LTD,5791,6469,429749,0,8544721,138039,31110526,753.5783988,95896.50903,23567317,27310087,34919683,133411.8456,45761.63603
March,2017,3,3/1/2017,3/31/2017,ICICI BANK LTD,4988,8894,306593,0,4253992,22435,15231402,81.946624,36043.67099,36891165,27022695,32698046,134064.7165,44568.7454
March,2017,3,3/1/2017,3/31/2017,IDFC BANK LTD,20,1,11,1022,0,0,0,0,0,279279,411861,249826,983,187.7
March,2017,3,3/1/2017,3/31/2017,INDUSIND BANK LTD,874,1162,28034,0,582848,9261,1839520,48.55292342,13070.99349,3353139,2125068,1890327,9614.522548,2652.368212
March,2017,3,3/1/2017,3/31/2017,JAMMU AND KASHMIR BANK,640,456,10872,0,457214,6755,139334,22.35680638,406.2534207,4481299,4745922,154867,20187.67068,439.4638804
March,2017,3,3/1/2017,3/31/2017,KARNATAKA BANK LTD,549,831,10314,0,0,0,0,0,0,3653939,3551614,1865709,14112.2,2294.5
March,2017,3,3/1/2017,3/31/2017,KARUR VYSYA BANK LTD,763,984,22068,0,0,0,0,0,0,4422799,4508932,2008493,19713.3,2692.2
March,2017,3,3/1/2017,3/31/2017,KOTAK MAHINDRA BANK LTD,971,1192,0,0,1044402,16911,2423302,75.8092297,6943.846372,4968601,4427295,4845009,18981.81825,6230.27537
March,2017,3,3/1/2017,3/31/2017,RATNAKAR BANK LIMITED,150,225,80672,0,281236,8455,896645,49.4961796,3514.113077,586004,349939,273168,1472.144773,365.9242778
March,2017,3,3/1/2017,3/31/2017,SOUTH INDIAN BANK,763,557,6932,0,0,0,0,0,0,3265719,2517602,1196893,9585.9,1669.6
March,2017,3,3/1/2017,3/31/2017,TAMILNAD MERCANTILE BANK LTD,443,620,6253,0,7966,0,13951,0,35.36128698,1057761,3737091,256460,14454.6587,479.2874722
March,2017,3,3/1/2017,3/31/2017,THE LAXMI VILAS BANK LTD,362,596,5422,0,0,0,0,0,0,1223570,779719,248422,3103.1,390.0018
March,2017,3,3/1/2017,3/31/2017,YES BANK LTD,663,1122,43985,0,93569,2636,278348,11.71904914,824.1262027,1607968,2581028,1766451,8902.942402,2401.06827
March,2017,3,3/1/2017,3/31/2017,AMERICAN EXPRESS,0,0,23816,0,1005961,3217,5597238,20.4981,38093.63353,0,0,0,0,0
March,2017,3,3/1/2017,3/31/2017,BANK OF AMERICA,0,0,0,0,12076,147,34989,1.2572741,190.419416,0,0,0,0,0
March,2017,3,3/1/2017,3/31/2017,BARCLAYS BANK PLC,0,0,0,0,0,0,0,0,0,3395,258,209,1.84356785,1.42137876
March,2017,3,3/1/2017,3/31/2017,CITI BANK,54,503,28261,0,2525548,42924,17570007,255.682505,38447.97967,1582044,1995640,4823951,8312.264763,8375.211915
March,2017,3,3/1/2017,3/31/2017,DBS BANK,5,25,0,0,0,0,0,0,0,1004556,148807,326955,359.5024435,359.4158831
March,2017,3,3/1/2017,3/31/2017,DEUTSCHE BANK LTD,13,19,0,0,0,0,0,0,0,104429,125518,200112,617.113975,334.291321
March,2017,3,3/1/2017,3/31/2017,FIRSTRAND BANK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,2017,3,3/1/2017,3/31/2017,HONGKONG AND SHANGHAI BKG CORPN,44,54,0,0,440923,3613,1254945,27.765513,3818.413576,431499,325008,593736,1646.595698,1098.830737
March,2017,3,3/1/2017,3/31/2017,ROYAL BANK OF SCOTLAND N V,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,2017,3,3/1/2017,3/31/2017,STANDARD CHARTERED BANK LTD,103,146,0,0,1092615,4263,4365512,21.085417,10353.06836,900068,1455487,2216558,5326.679348,2637.530177
